9001	2833	2551
9002	260	2095
9003	304	2354
9004	240	1873
9005	598	2207
9006	324	2771
9007	536	1590
9008	765	1407
9009	665	1782
9010	948	2806
9011	903	2243
9012	1240	1644
9013	1194	1927
9014	1393	2672
9015	1678	2171
9016	1903	2835
9017	1989	2039
9018	1963	1399
9019	2399	2830
9020	2589	2349
9021	2281	1975
9022	2396	1425
9023	2833	1826
9024	2138	2397
9025	354	2559
9026	247	1653
9027	647	2480
9028	925	1693
9029	1128	2518
9030	1909	2536
9031	1552	2425
9032	1395	2134
9033	1956	1810
9034	1534	1725
9035	621	2820
9036	1244	2832
9037	1576	2843
9038	1217	2259
9039	1923	2276
9040	886	1981
9041	377	1389
9042	1334	1404
9043	1629	1433
9044	2220	2654
9045	2337	2232
9046	2267	1700
9047	2756	1517
9048	870	2585
9049	1671	2636
9050	545	1961
9051	1621	1947
9052	1814	1636
9053	1042	1419
9054	2739	2806
9055	2556	2611
9056	2821	2155
9057	2559	2091
9058	2530	1782
