9059	271	1592
9060	600	1671
9061	847	1599
9062	1134	1613
9063	1267	1378
9064	2548	1651
9065	1505	1610
9066	2023	1584
9067	2294	1612
9068	2778	1564
9069	366	1449
9070	687	1414
9071	2057	1344
9072	2425	1434
9073	2743	1262
9074	226	1199
9075	436	1060
9076	1546	1306
9077	725	1181
9078	1092	1144
9079	1354	1099
9080	1722	1068
9081	2019	1094
9082	2381	1187
9083	2632	1026
9084	198	909
9085	388	736
9086	686	821
9087	1057	778
9088	1402	806
9089	1735	747
9090	2147	936
9091	2521	800
9092	2805	759
9093	292	469
9094	632	619
9095	877	540
9096	1245	568
9097	1634	440
9098	2001	535
9099	2230	723
9100	2573	565
9101	607	375
9102	2256	428
9103	290	195
9104	856	216
9105	1157	292
9106	1437	194
9107	1811	212
9108	2147	170
9109	2495	242
9110	2800	299
