301	899	3294
302	387	3358
303	585	3195
304	1067	3140
305	1270	3292
306	1522	3198
307	1675	3303
308	337	3030
309	785	3003
310	1517	2998
311	1814	3066
312	387	2758
313	760	2815
314	1142	2843
315	1505	2733
316	1801	2721
317	1955	2850
318	605	2553
319	1200	2578
320	1585	2503
321	2300	2652
322	431	2293
323	727	2355
324	1045	2290
325	1262	2215
326	1489	2148
327	330	2120
328	587	2100
329	847	2135
330	1191	2055
331	1483	1902
332	1796	1969
333	2020	1884
334	2214	2000
335	2450	1861
336	162	1840
337	415	1948
338	850	1838
339	1179	1775
340	1552	1717
341	1833	1777
342	2239	1790
343	340	1733
344	585	1673
345	192	1538
346	415	1443
347	800	1500
348	1075	1523
349	1342	1460
350	312	1225
351	525	1228
352	821	1265
353	1130	1308
354	1408	1166
355	1941	1269
356	594	890
357	898	898
358	1268	948
359	1664	1032
360	2183	1105
361	1938	905
362	435	650
363	714	571
364	1076	673
365	1535	705
366	506	363
367	912	311
368	1433	407
369	1889	457
370	1833	294
371	2163	329
372	2466	209
373	3094	3345
374	3387	3342
375	3743	3423
376	3916	3323
377	4376	3323
378	4589	3437
379	4804	3257
380	5217	3370
381	5111	3223
382	5444	3265
383	5764	3292
384	3200	3256
385	3377	3173
386	3687	3270
387	3894	3153
388	4119	3173
389	4380	3042
390	4578	3164
391	4800	2989
392	5185	3050
393	5683	3047
394	5800	3133
395	5547	2937
396	2811	3025
397	3022	3159
398	3595	2723
399	3064	2825
400	3352	2925
401	3805	2923
402	4089	2896
403	4427	2812
404	4626	2728
405	4866	2762
406	5155	2728
407	5408	2742
408	2725	2834
409	2530	2651
410	2875	2659
411	3277	2623
412	3942	2667
413	4202	2675
414	4402	2604
415	5011	2578
416	5670	2577
417	5848	2507
418	2408	2417
419	2615	2464
420	3004	2436
421	3400	2439
422	3699	2509
423	3972	2398
424	4233	2434
425	4844	2456
426	5051	2429
427	5402	2462
428	5683	2403
429	2906	2142
430	3189	2188
431	3578	2256
432	4015	2175
433	4422	2198
434	4752	2278
435	5055	2259
436	5456	2229
437	5700	2170
438	5878	2245
439	2639	2007
440	3027	1957
441	3350	1969
442	3749	2011
443	4339	2018
444	4683	2089
445	4980	1999
446	5375	2028
447	4629	1873
448	2758	1905
449	2672	1759
450	2908	1665
451	3214	1709
452	3493	1577
453	2779	1428
454	3122	1442
455	2941	1232
456	3339	1234
457	3589	1419
458	3810	1567
459	2925	998
460	3281	953
461	2485	819
462	2795	788
463	3072	696
464	2831	602
465	2743	365
466	3245	510
467	3345	776
468	3600	876
469	3729	1019
470	3968	1250
471	3964	1461
472	4206	1450
473	4312	1597
474	4556	1506
475	4730	1696
476	4974	1772
477	5206	1675
478	5539	1875
479	5802	1936
480	5686	1694
481	5387	1561
482	5789	1463
483	4934	1597
484	5090	1451
485	5366	1384
486	5366	1271
487	5730	1209
488	4741	1435
489	4370	1384
490	4225	1182
491	4550	1238
492	4908	1296
493	5050	1107
494	5483	1019
495	5797	963
496	4031	987
497	4412	1050
498	4710	1071
499	3902	813
500	3618	627
501	3260	223
502	3495	415
503	3785	265
504	3914	496
505	4154	609
506	4237	365
507	4402	530
508	4612	907
509	4892	844
510	5200	884
511	4545	315
512	4768	565
513	4804	390
514	5066	650
515	5312	684
516	5569	739
517	5150	400
518	5460	488
519	2558	2308
520	1030	2090
521	3034	489
