7001	290	1608
7002	271	1414
7003	373	1177
7004	529	1465
7005	849	1410
7006	674	1271
7007	1005	1123
7008	1057	1341
7009	546	1650
7010	856	1659
7011	1233	1530
7012	1554	1566
7013	1821	1660
7014	2158	1630
7015	2505	1624
7016	2475	1398
7017	2751	1441
7018	2593	1121
7019	1966	1480
7020	2191	1366
7021	1804	1343
7022	2117	1154
7023	1277	1200
7024	1442	1081
7025	1765	1122
7026	1973	844
7027	1498	916
7028	1739	879
7029	1588	635
7030	1300	624
7031	1269	811
7032	1081	903
7033	381	858
7034	478	714
7035	798	770
7036	538	572
7037	885	506
7038	1147	371
7039	1499	349
7040	240	551
7041	257	308
7042	498	218
7043	570	397
7044	836	299
7045	2665	921
7046	2460	813
7047	2471	600
7048	2788	594
7049	2181	836
7050	1987	521
7051	2209	561
7052	2213	374
7053	1717	344
7054	2019	195
7055	2525	382
7056	2758	328
