10903	-384	506.29	-52.286	841.49
10907	112	-272	-97	600.5
10901	-394.67	765.71	-61.048	240.31
10902	186.67	28.571	-260.24	700.07
10902	405.33	-546.29	432.95	548.91
10903	144	-156.57	-40.429	654.93
10902	-400	525.71	-290.71	549.21
10904	-384	596.57	-480.57	655.37
10903	213.33	-200	496.67	842
10909	-64	-36.571	88.571	601.83
10904	-1.0405e-12	308.57	-308.57	385.57
10905	240	-418.29	-106.71	385.41
10904	624	-582.86	485.86	387.04
10907	42.667	-197.71	113.05	386.89
10905	341.33	-486.86	285.52	385.54
10906	229.33	-369.14	202.81	102.36
10906	474.67	-781.71	694.05	525.59
10907	-128	134.86	173.14	165.66
10907	-101.33	49.143	321.19	910.64
10908	346.67	-602.29	456.62	344.61
10907	-101.33	198.86	-82.524	912.56
10910	-53.333	105.14	-221.81	345.74
10907	96	-225.14	349.14	911.06
10911	181.33	-419.43	278.1	345.37
10908	58.667	-30.857	143.19	1180.4
10909	42.667	-89.143	90.476	546.06
10910	10.667	57.143	214.19	927.54
10912	128	18.286	-118.29	174.89
10911	250.67	-612.57	438.9	1130.5
10912	74.667	-123.43	-133.24	386.37
