10903	10907	852	365	897	413	923	504	
10901	10902	268	280	350	320	460	320	
10902	10903	625	283	686	306	733	323	
10902	10904	500	352	490	406	455	450	
10903	10909	957	300	1067	290	1192	300	
10904	10905	330	590	305	653	330	755	
10904	10907	490	517	550	520	695	542	
10905	10906	434	785	446	782	472	775	
10906	10907	660	702	733	654	809	600	
10907	10908	987	495	1079	452	1131	427	
10907	10910	905	621	905	670	922	701	
10907	10911	982	527	1047	520	1083	524	
10908	10909	1213	356	1255	346	1293	338	
10910	10912	987	772	1047	783	1127	770	
10911	10912	1200	568	1237	630	1215	666	
